School Name,Niche Rank,Number of Students,Number of Seniors,Proportion interested in UT,Number of Seniors interested
Waxahachie Global High School,46,388,97,0.13185654,12.79008439
Alief Early College High School,47,403,100.75,0.144360902,14.5443609
Centennial High School,48,1994,498.5,0.190254585,94.84191076
Tomball Memorial High School,49,2406,601.5,0.148298629,89.20162519
Glenda Dawson High School,50,2580,645,0.196617697,126.8184148
iUniversity Prep,51,951,237.75,0.170212766,40.46808511
New Tech High School at Coppell,52,347,86.75,0.190332326,16.51132931
Vista Ridge High School,53,2466,616.5,0.210646823,129.8637665
Colleyville Heritage High School,54,1932,483,0.189513582,91.53506001
Founders Classical Academy of Lewisville,55,934,233.5,0.104408353,24.37935035
Frisco High School,56,1765,441.25,0.209005629,92.22373358
BASIS San Antonio - Shavano Campus,57,1049,262.25,0.183486239,48.11926606
Uplift North Hills Preparatory - High School,58,522,130.5,0.188679245,24.62264151
Round Rock High School,59,3652,913,0.214644809,195.9707104
Johnson High School,60,3173,793.25,0.172070354,136.4948082
Texas Academy of Biomedical,61,357,89.25,0.113402062,10.12113402
International School of the Americas,62,493,123.25,0.223664122,27.56660305
Irma Lerma Rangel Young Women's Leadership School,63,554,138.5,0.152217742,21.08215726
Grand Prairie Fine Arts Academy,64,902,225.5,0.140740741,31.73703704
Argyle High School,65,1051,262.75,0.145759717,38.29836572
Kerr High School,66,786,196.5,0.168413933,33.09333784
Chaparral Star Academy,67,376,94,0.266666667,25.06666667
Prosper High School,68,4094,1023.5,0.160197775,163.9624227
Friendswood High School,69,2092,523,0.182974214,95.69551395
Marcus High School,70,3094,773.5,0.16317706,126.2174556
Cy-Fair High School,71,3310,827.5,0.165717652,137.1313568
Hebron High School,72,3757,939.25,0.179691389,168.7751369
Midway High School,73,2440,610,0.142474916,86.909699
Judge Barefoot Sanders Law Magnet School,74,439,109.75,0.157296273,17.26326595
Grapevine High School,75,1918,479.5,0.184870378,88.64534637
Anderson High School,76,2216,554,0.288483466,159.8198404
Dripping Springs High School,77,2148,537,0.227707809,122.2790932
Mansfield Frontier High School,78,146,36.5,0.140350877,5.122807018
Wylie High School,79,2767,691.75,0.140140662,96.94230268
Bridgeland High School,80,2978,744.5,0.182211242,135.6562693
Stephen F. Austin High School,81,2225,556.25,0.192820898,107.2566247
Dulles High School,82,2599,649.75,0.189334931,123.0203715
Carroll High School,83,1396,349,0.198412698,69.24603175
Harmony School of Innovation - Katy,84,617,154.25,0.181184669,27.94773519
South Texas ISD Health Professions,85,794,198.5,0.149710505,29.71753515
Keller High School,86,3154,788.5,0.159045226,125.4071608
Richards School for Young Women Leaders,87,876,219,0.162251656,35.53311258
Stratford High School,88,2151,537.75,0.217701218,117.0688298
Hendrickson High School,89,2123,530.75,0.190215906,100.9570921
NYOS Charter School,90,666,166.5,0.24205379,40.30195599
South Texas ISD Medical Professions,91,835,208.75,0.15547106,32.45458386
James E. Taylor High School,92,2902,725.5,0.194699286,141.2543323
Guy M. Sconzo Early College High School,93,427,106.75,0.126734505,13.52890842
South Texas ISD World Scholars,94,582,145.5,0.160229645,23.31341336
Richland Collegiate High School,95,527,131.75,0.129874264,17.11093427
Lone Star High School,96,2091,522.75,0.157368219,82.26423624
A&M Consolidated High School,97,1840,460,0.160745234,73.94280763
Harmony School of Innovation - Fort Worth,98,967,241.75,0.153926702,37.2117801
Plano East Senior High School,99,2995,748.75,0.171543181,128.4429566
George Ranch High School,100,2705,676.25,0.167962675,113.5847589
Brownsville Early College High School,101,390,97.5,0.184196185,17.95912807
The Clariden School,102,166,41.5,0.128205128,5.320512821
Kingdom Collegiate Academies - DeSoto Campus,103,158,39.5,0.131147541,5.180327869
Lake Travis High School,104,3405,851.25,0.259100642,220.5594218
Richardson High School,105,2763,690.75,0.173589229,119.9067602
Valle Verde Early College High School,106,370,92.5,0.129770992,12.00381679
Westbury Christian School,107,355,88.75,0.164835165,14.62912088
Boerne-Samuel V. Champion High School,108,1770,442.5,0.176290464,78.00853018
Sunnyvale High School,109,583,145.75,0.143289606,20.88446014
Clear Springs High School,110,2832,708,0.163507779,115.7635078
Silva Health Magnet School,111,714,178.5,0.134153486,23.94639719
McKinney North High School,112,2140,535,0.149677419,80.07741935
Byron Nelson High School,113,2478,619.5,0.143015829,88.59830603
McCallum High School,114,1773,443.25,0.250129735,110.8700052
Bowie High School,115,2846,711.5,0.233164129,165.8962775
Mansfield High School,116,2444,611,0.145722472,89.03643062
Harmony Science Academy - Carrollton,117,529,132.25,0.107569721,14.22609562
Trinidad Garza Early College High School,118,450,112.5,0.128446537,14.45023537
Frenship High School,119,2770,692.5,0.109592941,75.8931113
Lowery Freshman Center,120,1815,453.75,0.192982456,87.56578947
Fossil Ridge High School,121,2288,572,0.1360769,77.83598678
School of Health Professions,122,500,125,0.133495146,16.6868932
Bellaire High School,123,3450,862.5,0.189964821,163.8446584
Westchester Academy for International Studies,124,965,241.25,0.150943396,36.41509434
Brandeis High School,125,2786,696.5,0.168757127,117.5393387
Pearce High School,126,2373,593.25,0.189752497,112.5706687
Birdville High School,127,2105,526.25,0.138162307,72.70791415
IDEA Quest College Preparatory,128,720,180,0.126269036,22.7284264
Ridge Point High School,129,2991,747.75,0.163418643,122.1962902
Klein High School,130,3195,798.75,0.157405815,125.7278944
Robert G. Cole Middle/High School,131,707,176.75,0.151988636,26.86399148
Talkington School for Young Women Leaders,132,454,113.5,0.10968661,12.4494302
San Antonio Christian School,133,910,227.5,0.12849162,29.23184358
Spring Early College Academy,134,430,107.5,0.125691302,13.51181498
Kingwood Park High School,135,1874,468.5,0.141803279,66.43483607
Lamar Academy,136,108,27,0.20802005,5.616541353
Barack Obama Male Leadership Academy,137,458,114.5,0.115646259,13.2414966
Alamo Heights High School,138,1664,416,0.209825998,87.28761515
iSchool High at University Park,139,307,76.75,0.143026005,10.97724586
Ischool High at the Woodlands,140,317,79.25,0.141683778,11.22843943
Langham Creek High School,141,2960,740,0.152035043,112.5059317
Foster High School,142,1959,489.75,0.155735057,76.27124394
Mason High School,143,223,55.75,0.091666667,5.110416667
Virginia Allred Stacey Junior/Senior High School,144,413,103.25,0.163568773,16.88847584
School of Science & Technology San Antonio,145,458,114.5,0.134171908,15.36268344
School of Business & Management,146,493,123.25,0.12762133,15.72932894
Sharyland High School,147,1555,388.75,0.177898435,69.15801661
Timber Creek High School,148,3211,802.75,0.14648582,117.591492
Byron P. Steele II High School,149,2570,642.5,0.150449944,96.66408886
James M. Steele Accelerated High School,150,201,50.25,0.114551084,5.75619195
Central High School,151,2560,640,0.146462969,93.73630023
C.A. McMillen H.S.,152,1269,317.25,0.165938865,52.6441048
Tom C. Clark High School,153,2866,716.5,0.172853309,123.8493962
Leander High School,154,2183,545.75,0.205318075,112.0523393
Harmony School of Advancement-Houston,155,665,166.25,0.154309825,25.65400844
Guyer High School,156,2626,656.5,0.145522388,95.53544776
Young Women's Leadership Academy,157,459,114.75,0.119119119,13.66891892
Clear Falls High School,158,2643,660.75,0.161665053,106.8201839
William B. Travis High School,159,2828,707,0.168095155,118.8432744
"Academy for Technology, Engineering, Math & Science (ATEMS)",160,321,80.25,0.112522686,9.029945554
Martin High School,161,3584,896,0.143210216,128.3163532
Eastwood Academy,162,447,111.75,0.124116261,13.86999214
N. Garland H.S.,163,2748,687,0.138393751,95.07650711
Shepton High School,164,1463,365.75,0.182186235,66.63461538
Fort Worth Academy of Fine Arts Middle/High School,165,316,79,0.151645207,11.97997139
Klein Oak High School,166,3550,887.5,0.154267146,136.9120917
Bryan Collegiate High School,167,474,118.5,0.120147874,14.23752311
Sachse High School,168,2845,711.25,0.146540027,104.2265943
Boswell High School,169,2183,545.75,0.127084105,69.35615043
Wylie East High School,170,2010,502.5,0.136266553,68.47394276
Universal Academy - Coppell Campus,171,1404,351,0.135338346,47.5037594
Mission Early College High School,172,469,117.25,0.155742003,18.26074987
Grand Prairie Collegiate Institute,173,324,81,0.151315789,12.25657895
O'Connor High School,174,3253,813.25,0.143012153,116.3046332
Plano Senior High School,175,2647,661.75,0.186397985,123.3488665
Rockwall High School,176,2752,688,0.14953271,102.8785047
Judson Early College Academy,177,452,113,0.140593392,15.88705327
Northwest Early College High School (NECHS),178,347,86.75,0.114627286,9.943917018
McKinney Boyd High School,179,2835,708.75,0.167693169,118.8525336
Clear Brook High School,180,2327,581.75,0.156959256,91.31104731
East View High School,181,1761,440.25,0.158680283,69.8589945
Rouse High School,182,1782,445.5,0.18914956,84.26612903
Dr Wright L. Lassiter Jr Early College H.S.,183,252,63,0.129032258,8.129032258
Young Women's Leadership Academy,184,525,131.25,0.1634757,21.45618557
Harmony School of Innovation - Sugar Land,185,713,178.25,0.135751902,24.19777648
Rosie Sorrells Education & Social Services High School,186,268,67,0.122807018,8.228070175
Lawrence E. Elkins High School,187,2437,609.25,0.173430962,105.6628138
Transmountain Early College High School,188,403,100.75,0.145602365,14.66943829
Boerne High School,189,1168,292,0.154605263,45.14473684
Memorial Early College High School,190,368,92,0.142208775,13.08320726
Cypress Falls High School,191,2975,743.75,0.161118264,119.8317087
Port Aransas High School,192,187,46.75,0.166666667,7.791666667
Lubbock High School,193,1916,479,0.148747592,71.25009634
Veterans Memorial High School,194,2217,554.25,0.134419552,74.50203666
Dr Kirk Lewis Career & Technical H.S.,195,1449,362.25,0.108777194,39.40453863
Challenge Early College High School,196,473,118.25,0.133440514,15.77934084
Katy High School,197,3446,861.5,0.150158898,129.3618909
Impact Early College High School,198,410,102.5,0.127891156,13.10884354
Falls City High School,199,171,42.75,0.088435374,3.780612245
Harmony School of Innovation - Garland,200,589,147.25,0.116710875,17.18567639
Allen High School,201,5142,1285.5,0.182346785,234.4067915
Harmony Science Academy - Euless,202,523,130.75,0.13015873,17.01825397
Idea Mays College Preparatory,203,625,156.25,0.153846154,24.03846154
Tccse Early College H S At Timberview,204,220,55,0.136690647,7.517985612
Hudson High School,205,837,209.25,0.121057986,25.33138352
Mansfield Lake Ridge High School,206,2728,682,0.138677107,94.57778694
Bay Area Christian School,207,855,213.75,0.121126761,25.89084507
London High School,208,354,88.5,0.124463519,11.01502146
Harlingen School of Health Professions,209,424,106,0.123552124,13.0965251
V.R. Eaton High School,210,2541,635.25,0.112442922,71.42936644
Rockwall-Heath High School,211,2539,634.75,0.16555125,105.0836562
Mission Collegiate High School,212,430,107.5,0.119047619,12.79761905
Collegiate High School,213,422,105.5,0.120992761,12.7647363
Tomball Star Academy,214,291,72.75,0.143884892,10.4676259
Robert Turner College & Career High School,215,1167,291.75,0.135302198,39.47441621
McNeil High School,216,2690,672.5,0.234567901,157.7469136
Austin High School,217,2360,590,0.254752852,150.3041825
Clear Creek High School,218,2476,619,0.171769384,106.3252485
Franklin High School,219,340,85,0.097560976,8.292682927
Memorial High School,220,1653,413.25,0.180265655,74.49478178
Ischool High - Lewisville,221,87,21.75,0.158176944,3.440348525
Plano ISD Academy High School,222,432,108,0.19023569,20.54545455
Randolph High School,223,476,119,0.142091153,16.90884718
IDEA McAllen College Preparatory,224,757,189.25,0.120987654,22.89691358
Paetow High School,225,2151,537.75,0.126899017,68.23994638
Cedar Ridge High School,226,2767,691.75,0.189145621,130.8414831
Killeen Isd Early College High School,227,1087,271.75,0.163297045,44.37597201
John A. Dubiski Career H.S.,228,1620,405,0.151688974,61.43403442
Oak Ridge High School,229,3013,753.25,0.134163774,101.0588626
Tarrant County College South/Fort Worth Collegiate High School,230,347,86.75,0.152173913,13.20108696
Wellington High School,231,144,36,0.067460317,2.428571429
Saginaw High School,232,1925,481.25,0.124959003,60.13652017
Our Lady of the Hills College Prep,233,93,23.25,0.161403509,3.752631579
Aledo High School,234,1360,340,0.130199892,44.26796326
McKinney High School,235,3038,759.5,0.160334347,121.7739362
Wall High School,236,347,86.75,0.068897638,5.976870079
Achieve Early College High School,237,458,114.5,0.141823444,16.23878437
Robert Vela High School,238,2299,574.75,0.131578947,75.625
Cypress Creek High School,239,3136,784,0.154559811,121.1748914
Gateway College Preparatory School,240,1398,349.5,0.183453237,64.11690647
Wimberley High School,241,799,199.75,0.1875,37.453125
Tivy High School,242,1394,348.5,0.150564617,52.47176913
Mansfield Legacy High School,243,2180,545,0.136713736,74.50898588
Thelma Rosa Salinas STEM Early College High School,244,434,108.5,0.128031585,13.89142696
Early College High School,245,349,87.25,0.116638079,10.17667238
Seymour High School,246,160,40,0.057971014,2.31884058
Colorado River Collegiate Academy,247,218,54.5,0.188940092,10.29723502
Veterans Memorial Early College High School,248,2071,517.75,0.1511966,78.28203981
Clark High School,249,1371,342.75,0.215277778,73.78645833
Woodrow Wilson High School,250,1915,478.75,0.173715325,83.16621191
Harmony Science Academy - Houston,251,644,161,0.158764368,25.56106322
UME Preparatory Academy,252,991,247.75,0.110795455,27.44957386
Creekview High School,253,1717,429.25,0.154538635,66.33570893
El Paso High School,254,1506,376.5,0.166556072,62.70836098
Barbers Hill High School,255,1754,438.5,0.122776573,53.83752711
Atascocita High School,256,3621,905.25,0.154037267,139.442236
Summer Creek High School,257,2661,665.25,0.143607049,95.53458943
Garland High School,258,2309,577.25,0.161016949,92.9470339
Travis Early College High School,259,399,99.75,0.112745098,11.24632353
Lubbock-Cooper High School,260,1792,448,0.106918239,47.89937107
Morton Ranch High School,261,2545,636.25,0.14546481,92.55198532
Founders Classical Academy of Leander,262,685,171.25,0.180451128,30.90225564
Coronado High School,263,2658,664.5,0.182215743,121.0823615
Sharyland Pioneer High School,264,1567,391.75,0.139612558,54.69321977
Sabine Pass School,265,375,93.75,0.13592233,12.74271845
United High School,266,4171,1042.75,0.137460651,143.3370934
Idea South Flores College Preparatory,267,739,184.75,0.116621984,21.54591153
Infinity Early College High School,268,342,85.5,0.102040816,8.724489796
Hector J. Garcia Early College High School,269,430,107.5,0.134770889,14.48787062
Harmony Science Academy - El Paso,270,975,243.75,0.151548673,36.93998894
Graham High School,271,641,160.25,0.102915952,16.4922813
Calvin Nelms High School,272,165,41.25,0.123493976,5.094126506
Churchill High School,273,2702,675.5,0.167561121,113.1875373
Ryan High School,274,2131,532.75,0.118909253,63.34890478
Manor New Technology High School,275,522,130.5,0.198984772,25.96751269
Great Hearts Monte Vista North,276,505,126.25,0.111702128,14.10239362
Harmony Science Academy - Pflugerville,277,903,225.75,0.195849546,44.21303502
Wylie High School,278,1270,317.5,0.095724907,30.39265799
Hallsville High School,279,1411,352.75,0.11889132,41.9389132
North Houston Early College High School,280,486,121.5,0.103739982,12.60440784
Garza Independence High School,281,150,37.5,0.264367816,9.913793103
Melissa High School,282,970,242.5,0.133406836,32.35115766
Pearland High School,283,3092,773,0.15842839,122.4651458
Texas Online Preparatory High School,284,1611,402.75,0.181046676,72.9165488
Bushland High School,285,478,119.5,0.069033531,8.249506903
White Oak High School,286,430,107.5,0.109704641,11.79324895
San Saba High School,287,201,50.25,0.109375,5.49609375
Franklin High School,288,2905,726.25,0.147992179,107.4793202
Jersey Village High School,289,3372,843,0.154910628,130.5896598
Jack E. Singley Academy,290,1686,421.5,0.153666375,64.77037686
Cedar Hill Collegiate High School,291,355,88.75,0.13982718,12.40966222
Kempner High School,292,2060,515,0.164819376,84.88197865
Tomball High School,293,2230,557.5,0.147485656,82.22325346
Early College High School at Midland College,294,351,87.75,0.096807415,8.494850669
Spring Hill High School,295,547,136.75,0.109489051,14.97262774
Troup High School,296,319,79.75,0.090697674,7.233139535
Leadership Prep School Secondary School,297,783,195.75,0.142857143,27.96428571
Smithson Valley High School,298,2953,738.25,0.15328,113.15896
Arlington Collegiate High School,299,402,100.5,0.108732877,10.92765411
Canyon High School,300,2764,691,0.16017316,110.6796537
Holliday High School,301,323,80.75,0.071428571,5.767857143
Westside High School,302,2857,714.25,0.151471198,108.1883029
Houston Academy for International Studies,303,497,124.25,0.129574085,16.09958008
Harmony School of Endeavor - Austin,304,615,153.75,0.223809524,34.41071429
Georgetown High School,305,1989,497.25,0.170746269,84.90358209
The Colony High School,306,2022,505.5,0.152361255,77.01861427
Cisco High School,307,219,54.75,0.084432718,4.622691293
International Leadership of Texas - Katy-Westpark High School,308,572,143,0.091954023,13.14942529
Mayde Creek High School,309,2875,718.75,0.148356808,106.6314554
Fairfield High School,310,504,126,0.108910891,13.72277228
Midlothian Heritage High School,311,1040,260,0.116710875,30.34482759
Kingdom Collegiate Academies - DeSoto Campus,312,158,39.5,0.131147541,5.180327869
Fulshear High School,313,1420,355,0.150660793,53.4845815
Klein Collins High School,314,3369,842.25,0.151178301,127.3299244
Harold T. Branch Academy for Career & Technical Education,315,274,68.5,0.114942529,7.873563218
Lewisville High School,316,4467,1116.75,0.143521832,160.2780064
Chisholm Trail High School,317,2207,551.75,0.114506927,63.17919723
Belton New Tech High School at Waskow,318,512,128,0.168402778,21.55555556
Dr. Abraham P. Cano Freshman Academy,319,1140,285,0.182539683,52.02380952
East Bernard High School,320,302,75.5,0.1,7.55
Needville High School,321,1026,256.5,0.104283054,26.74860335
Vanguard Rembrandt School,322,1799,449.75,0.125912409,56.62910584
Warren High School,323,2994,748.5,0.138355951,103.5594291
Idalou High School,324,288,72,0.070921986,5.106382979
Lindale High School,325,1208,302,0.130561634,39.42961342
Childress High School,326,331,82.75,0.096938776,8.021683673
East View High School,327,1761,440.25,0.158680283,69.8589945
Pebble Hills High School,328,2547,636.75,0.12010582,76.47738095
Glen Rose High School,329,565,141.25,0.095238095,13.45238095
Pflugerville High School,330,1941,485.25,0.190108634,92.25021441
Macarthur H.S.,331,2733,683.25,0.149580259,102.2007123
IDEA Frontier College Preparatory,332,782,195.5,0.125739645,24.58210059
Lucas Christian Academy,333,394,98.5,0.079411765,7.822058824
St. Pius X. High School,334,543,135.75,0.167898627,22.79223865
Calallen High School,335,1192,298,0.110058309,32.79737609
Neches High School,336,111,27.75,0.076271186,2.116525424
John B. Alexander High School,337,2875,718.75,0.152839143,109.8531337
St. Andrew's Episcopal School,338,973,243.25,0.244680851,59.51861702
Medina Valley High School,339,1639,409.75,0.137139808,56.19303629
Chireno High School,340,100,25,0.050632911,1.265822785
The Academy of Viola Dewalt H.S.,341,195,48.75,0.107142857,5.223214286
Pineywoods Community Academy High School,342,271,67.75,0.080745342,5.470496894
Premier High School of New Braunfels,343,103,25.75,0.169491525,4.36440678
Paris High School,344,901,225.25,0.120531154,27.14964249
Mumford High School,345,235,58.75,0.107526882,6.317204301
Texas High School,346,1796,449,0.138421053,62.15105263
Lorena High School,347,505,126.25,0.102505695,12.94134396
PSJA Thomas Jefferson T-STEM Early College H.S.,348,768,192,0.138109306,26.51698671
Harlan High School,349,2788,697,0.152223489,106.0997719
Samuel Clemens High School,350,2603,650.75,0.150611621,98.01051223
Early High School,351,367,91.75,0.118932039,10.91201456
Del Valle High School,352,2055,513.75,0.130958904,67.28013699
Richland High School,353,2080,520,0.136075949,70.75949367
Young Women's College Preparatory Academy,354,530,132.5,0.11453202,15.17549261
Miles High School,355,212,53,0.060714286,3.217857143
Pasadena Memorial High School,356,3129,782.25,0.127939984,100.0810523
Beta Academy,357,885,221.25,0.157894737,34.93421053
J Frank Dobie High School,358,3897,974.25,0.145786305,142.0323081
Magnolia High School,359,1975,493.75,0.138399597,68.33480121
Grapevine-Colleyville Collegiate Academy at Tcc Ne,360,339,84.75,0.164271047,13.92197125
Kingdom Collegiate Academies - DeSoto Campus,361,158,39.5,0.131147541,5.180327869
Harmony Science Academy - Houston,362,644,161,0.158764368,25.56106322
Mansfield Timberview High School,363,1895,473.75,0.129715554,61.45274359
Brock High School,364,436,109,0.089430894,9.74796748
Navarro High School,365,635,158.75,0.132575758,21.04640152
The Hockaday School,366,1115,278.75,0.184210526,51.34868421
Roby High School,367,304,76,0.067484663,5.128834356
Ut Tyler University Academy at Longview,368,275,68.75,0.215384615,14.80769231
Harmony School of Discovery - Houston,369,754,188.5,0.159695817,30.1026616
Deer Park High School,370,4011,1002.75,0.122213798,122.5498863
Forney High School,371,1618,404.5,0.126465145,51.15515114
Jimmy Carter Early College High School,372,377,94.25,0.120866591,11.39167617
Energy Institute High School,373,741,185.25,0.124598071,23.0817926
Goldthwaite High School,374,178,44.5,0.088825215,3.952722063
Teague High School,375,358,89.5,0.095121951,8.513414634
Idea College Prep,376,714,178.5,0.12992126,23.19094488
Flour Bluff High School,377,1817,454.25,0.152348225,69.20418099
Leverett's Chapel High School,378,60,15,0.083333333,1.25
New Direction Learning Center,379,82,20.5,0.142857143,2.928571429
Santa Gertrudis Academy High School,380,367,91.75,0.099270073,9.108029197
Gunter High School,381,323,80.75,0.110837438,8.950123153
Paul & Jane Meyer Public H.S.,382,176,44,0.161702128,7.114893617
South Early College High School,383,427,106.75,0.110227273,11.76676136
Premier High School of Granbury,384,134,33.5,0.134831461,4.516853933
Industrial High School,385,351,87.75,0.106493506,9.344805195
Beaumont Isd Early College High School,386,284,71,0.115662651,8.212048193
Glenn High School,387,1734,433.5,0.204081633,88.46938776
St. Andrew's Episcopal School,388,973,243.25,0.244680851,59.51861702
The Highlands School,389,320,80,0.111111111,8.888888889
Sundown High School,390,188,47,0.057471264,2.701149425
Rider High School,391,1509,377.25,0.119153675,44.95072383
Cypress Ridge High School,392,3111,777.75,0.16099916,125.217097
Kingdom Collegiate Academies - DeSoto Campus,393,158,39.5,0.131147541,5.180327869
Manvel High School,394,1983,495.75,0.141526442,70.16173377
Team School,395,37,9.25,0.090909091,0.840909091
Sharyland Advanced Academic Academy,396,392,98,0.12267658,12.02230483
Great Hearts Northern Oaks,397,1332,333,0.149659864,49.83673469
Lake Dallas High School,398,1303,325.75,0.118996416,38.76308244
Crosby High School,399,1770,442.5,0.122927387,54.39536878
Vega High School,400,134,33.5,0.082352941,2.758823529
Lovelady Junior High/High School,401,234,58.5,0.082568807,4.830275229
Trinity High School,402,2671,667.75,0.149913719,100.1048857
Lago Vista High School,403,521,130.25,0.183739837,23.93211382
San Isidro High School,404,71,17.75,0.116847826,2.074048913
Thrall High School,405,209,52.25,0.102649007,5.363410596
Arlington High School,406,2663,665.75,0.125945705,83.84835336
YES Prep - Southeast,407,967,241.75,0.101144334,24.45164267
Hooks High School,408,318,79.5,0.099071207,7.876160991
Canyon High School,409,1151,287.75,0.08161435,23.48452915
Denton High School,410,2025,506.25,0.136170213,68.93617021
Rowlett High School,411,2491,622.75,0.142691751,88.86128799
Lake Creek High School,412,1279,319.75,0.119617225,38.24760766
Trenton High School,413,207,51.75,0.094262295,4.87807377
McGregor High School,414,403,100.75,0.106418919,10.72170608
Premier High School of Abilene,415,159,39.75,0.127819549,5.080827068
Liberty Hill High School,416,1340,335,0.1711146,57.32339089
Poteet High School,417,1814,453.5,0.148117155,67.17112971
H.S. for Law & Justice,418,467,116.75,0.113787375,13.28467608
Harmony School of Innovation - Waco,419,573,143.25,0.144736842,20.73355263
Brackett High School,420,166,41.5,0.133603239,5.544534413
Crawford High School,421,317,79.25,0.070539419,5.590248963
Tatum High School,422,483,120.75,0.096491228,11.65131579
Ut Tyler University Academy at Palestine,423,245,61.25,0.105263158,6.447368421
Shadow Creek High School,424,2787,696.75,0.15511022,108.0730461
New Home School,425,532,133,0.111317254,14.80519481
Seguin High School,426,1599,399.75,0.12495744,49.95173647
Carthage High School,427,823,205.75,0.110764431,22.78978159
Kennedale High School,428,955,238.75,0.142667551,34.0618779
Los Fresnos High School,429,3291,822.75,0.140733399,115.7884044
Grandview High School,430,409,102.25,0.099644128,10.1886121
Cayuga High School,431,172,43,0.08974359,3.858974359
Lake Highlands High School,432,2749,687.25,0.158110883,108.6617043
George H.W. Bush New Tech Odessa,433,363,90.75,0.130612245,11.85306122
Palestine High School,434,987,246.75,0.125,30.84375
MacArthur High School,435,2374,593.5,0.146982479,87.23410123
Montgomery High School,436,1564,391,0.148773006,58.1702454
Carl Wunsche Senior High School,437,1481,370.25,0.133055677,49.26386453
Sharpstown International School,438,1250,312.5,0.105846774,33.07711694
Dan Chadwick Campus,439,147,36.75,0.074766355,2.747663551
Poth High School,440,233,58.25,0.109919571,6.402815013
Chapel Hill High School,441,378,94.5,0.11011236,10.40561798
Waxahachie High School,442,2460,615,0.14237936,87.56330626
Uplift Summit International Preparatory - High School,443,443,110.75,0.127639155,14.13603647
Ira School,444,268,67,0.072289157,4.843373494
Idea Carver College Preparatory,445,672,168,0.125567322,21.09531014
Longview High School,446,2122,530.5,0.150826446,80.01342975
Early College High School,447,337,84.25,0.203821656,17.17197452
East Early College High School,448,457,114.25,0.117114094,13.38028523
Archer City High School,449,233,58.25,0.056497175,3.290960452
Electra Junior/Senior High School,450,145,36.25,0.06779661,2.457627119
Abernathy High School,451,254,63.5,0.09486166,6.023715415
Paschal High School,452,2405,601.25,0.146309771,87.96875
Tekoa Academy of Accelerated Studies - High School,453,83,20.75,0.163934426,3.401639344
Bosqueville Secondary School,454,207,51.75,0.11372549,5.885294118
Tuloso-Midway High School,455,1124,281,0.121614716,34.17373531
George West High School,456,331,82.75,0.078231293,6.473639456
Victory Early College High School,457,410,102.5,0.134179162,13.75336409
Northwest High School,458,1908,477,0.127607789,60.86891516
